"","X","id","Time","Sample","Value"
"1710",2790,2,0.1666667,"Cell_10",0.9938114
"1711",2791,2,0.3333333,"Cell_10",1.004937
"1712",2792,2,0.5,"Cell_10",0.9971925
"1713",2793,2,0.6666667,"Cell_10",0.9997435
"1714",2794,2,0.8333333,"Cell_10",0.9919835
"1715",2795,2,1,"Cell_10",0.9993181
"1716",2796,2,1.166667,"Cell_10",0.9965406
"1717",2797,2,1.333333,"Cell_10",1.008956
"1718",2798,2,1.5,"Cell_10",1.006107
"1719",2799,2,1.666667,"Cell_10",0.9868611
"1720",2800,2,1.833333,"Cell_10",1.016562
"1721",2801,2,2,"Cell_10",0.9912003
"1722",2802,2,2.166667,"Cell_10",0.989268
"1723",2803,2,2.333333,"Cell_10",1.0002
"1724",2804,2,2.5,"Cell_10",0.9919347
"1725",2805,2,2.666667,"Cell_10",0.9918034
"1726",2806,2,2.833333,"Cell_10",0.9933953
"1727",2807,2,3,"Cell_10",0.9766978
"1728",2808,2,3.166667,"Cell_10",1.003289
"1729",2809,2,3.333333,"Cell_10",1.00918
"1730",2810,2,3.5,"Cell_10",1.018203
"1731",2811,2,3.666667,"Cell_10",1.033863
"1732",2812,2,3.833333,"Cell_10",1.032479
"1733",2813,2,4,"Cell_10",1.039256
"1734",2814,2,4.166667,"Cell_10",1.046577
"1735",2815,2,4.333334,"Cell_10",1.056424
"1736",2816,2,4.5,"Cell_10",1.066686
"1737",2817,2,4.666667,"Cell_10",1.067158
"1738",2818,2,4.833334,"Cell_10",1.070433
"1739",2819,2,5,"Cell_10",1.085236
"1740",2820,2,5.166667,"Cell_10",1.078702
"1741",2821,2,5.333334,"Cell_10",1.069111
"1742",2822,2,5.5,"Cell_10",1.059214
"1743",2823,2,5.666667,"Cell_10",1.060494
"1744",2824,2,5.833334,"Cell_10",1.058617
"1745",2825,2,6,"Cell_10",1.040156
"1746",2826,2,6.166667,"Cell_10",1.052687
"1747",2827,2,6.333334,"Cell_10",1.050175
"1748",2828,2,6.5,"Cell_10",1.050544
"1749",2829,2,6.666667,"Cell_10",1.051134
"1750",2830,2,6.833334,"Cell_10",1.046852
"1751",2831,2,7,"Cell_10",1.038407
"1752",2832,2,7.166667,"Cell_10",1.044126
"1753",2833,2,7.333334,"Cell_10",1.046306
"1754",2834,2,7.5,"Cell_10",1.036961
"1755",2835,2,7.666667,"Cell_10",1.048434
"1756",2836,2,7.833334,"Cell_10",1.044041
"1757",2837,2,8,"Cell_10",1.047043
"1758",2838,2,8.166667,"Cell_10",1.051994
"1759",2839,2,8.333333,"Cell_10",1.047788
"1760",2840,2,8.5,"Cell_10",1.038659
"1761",2841,2,8.666667,"Cell_10",1.045961
"1762",2842,2,8.833333,"Cell_10",1.048663
"1763",2843,2,9,"Cell_10",1.047974
"1764",2844,2,9.166667,"Cell_10",1.043926
"1765",2845,2,9.333333,"Cell_10",1.040535
"1766",2846,2,9.5,"Cell_10",1.03968
"1767",2847,2,9.666667,"Cell_10",1.034692
"1768",2848,2,9.833333,"Cell_10",1.020208
"1769",2849,2,10,"Cell_10",1.006561
"1770",2910,3,0,"Cell_10",1.000748
"1771",2911,3,0.1666667,"Cell_10",0.995352
"1772",2912,3,0.3333333,"Cell_10",1.003132
"1773",2913,3,0.5,"Cell_10",1.000595
"1774",2914,3,0.6666667,"Cell_10",1.000192
"1775",2915,3,0.8333333,"Cell_10",1.001741
"1776",2916,3,1,"Cell_10",1.003669
"1777",2917,3,1.166667,"Cell_10",1.005965
"1778",2918,3,1.333333,"Cell_10",1.005503
"1779",2919,3,1.5,"Cell_10",1.010009
"1780",2920,3,1.666667,"Cell_10",1.004652
"1781",2921,3,1.833333,"Cell_10",1.004805
"1782",2922,3,2,"Cell_10",1.020904
"1783",2923,3,2.166667,"Cell_10",1.071681
"1784",2924,3,2.333333,"Cell_10",1.10283
"1785",2925,3,2.5,"Cell_10",1.102509
"1786",2926,3,2.666667,"Cell_10",1.095298
"1787",2927,3,2.833333,"Cell_10",1.082234
"1788",2928,3,3,"Cell_10",1.068696
"1789",2929,3,3.166667,"Cell_10",1.064736
"1790",2930,3,3.333333,"Cell_10",1.074442
"1791",2931,3,3.5,"Cell_10",1.080841
"1792",2932,3,3.666667,"Cell_10",1.086166
"1793",2933,3,3.833333,"Cell_10",1.087612
"1794",2934,3,4,"Cell_10",1.099373
"1795",2935,3,4.166667,"Cell_10",1.099683
"1796",2936,3,4.333334,"Cell_10",1.094807
"1797",2937,3,4.5,"Cell_10",1.096187
"1798",2938,3,4.666667,"Cell_10",1.095545
"1799",2939,3,4.833334,"Cell_10",1.089215
"1800",2940,3,5,"Cell_10",1.088405
"1801",2941,3,5.166667,"Cell_10",1.084382
"1802",2942,3,5.333334,"Cell_10",1.082803
"1803",2943,3,5.5,"Cell_10",1.076195
"1804",2944,3,5.666667,"Cell_10",1.077363
"1805",2945,3,5.833334,"Cell_10",1.071498
"1806",2946,3,6,"Cell_10",1.069439
"1807",2947,3,6.166667,"Cell_10",1.06135
"1808",2948,3,6.333334,"Cell_10",1.062128
"1809",2949,3,6.5,"Cell_10",1.056347
"1810",2950,3,6.666667,"Cell_10",1.054538
"1811",2951,3,6.833334,"Cell_10",1.061464
"1812",2952,3,7,"Cell_10",1.055935
"1813",2953,3,7.166667,"Cell_10",1.053119
"1814",2954,3,7.333334,"Cell_10",1.056587
"1815",2955,3,7.5,"Cell_10",1.0606
"1816",2956,3,7.666667,"Cell_10",1.046862
"1817",2957,3,7.833334,"Cell_10",1.053464
"1818",2958,3,8,"Cell_10",1.058214
"1819",2959,3,8.166667,"Cell_10",1.051532
"1820",2960,3,8.333333,"Cell_10",1.048899
"1821",2961,3,8.5,"Cell_10",1.045271
"1822",2962,3,8.666667,"Cell_10",1.049673
"1823",2963,3,8.833333,"Cell_10",1.048124
"1824",2964,3,9,"Cell_10",1.042995
"1825",2965,3,9.166667,"Cell_10",1.048063
"1826",2966,3,9.333333,"Cell_10",1.040656
"1827",2967,3,9.5,"Cell_10",1.043349
"1828",2968,3,9.666667,"Cell_10",1.043678
"1829",2969,3,9.833333,"Cell_10",1.040106
"1830",2970,3,10,"Cell_10",1.03641
"1831",3031,1,0,"Cell_11",0.9947702
"1832",3032,1,0.1666667,"Cell_11",0.9998431
"1833",3033,1,0.3333333,"Cell_11",0.9955725
"1834",3034,1,0.5,"Cell_11",1.002037
"1835",3035,1,0.6666667,"Cell_11",1.009591
"1836",3036,1,0.8333333,"Cell_11",1.000189
"1837",3037,1,1,"Cell_11",1.004892
"1838",3038,1,1.166667,"Cell_11",0.9933417
"1839",3039,1,1.333333,"Cell_11",0.9946559
"1840",3040,1,1.5,"Cell_11",0.9979149
"1841",3041,1,1.666667,"Cell_11",1.012097
"1842",3042,1,1.833333,"Cell_11",0.9962074
"1843",3043,1,2,"Cell_11",1.05807
"1844",3044,1,2.166667,"Cell_11",1.141694
"1845",3045,1,2.333333,"Cell_11",1.172457
"1846",3046,1,2.5,"Cell_11",1.18404
"1847",3047,1,2.666667,"Cell_11",1.165766
"1848",3048,1,2.833333,"Cell_11",1.138976
"1849",3049,1,3,"Cell_11",1.111849
"1850",3050,1,3.166667,"Cell_11",1.088174
"1851",3051,1,3.333333,"Cell_11",1.076976
"1852",3052,1,3.5,"Cell_11",1.063994
"1853",3053,1,3.666667,"Cell_11",1.034345
"1854",3054,1,3.833333,"Cell_11",1.039785
"1855",3055,1,4,"Cell_11",1.019345
"1856",3056,1,4.166667,"Cell_11",1.021325
"1857",3057,1,4.333334,"Cell_11",1.024537
"1858",3058,1,4.5,"Cell_11",1.010865
"1859",3059,1,4.666667,"Cell_11",1.007066
"1860",3060,1,4.833334,"Cell_11",1.008514
"1861",3061,1,5,"Cell_11",1.006144
"1862",3062,1,5.166667,"Cell_11",1.000546
"1863",3063,1,5.333334,"Cell_11",1.000557
"1864",3064,1,5.5,"Cell_11",1.013536
"1865",3065,1,5.666667,"Cell_11",1.020892
"1866",3066,1,5.833334,"Cell_11",1.018161
"1867",3067,1,6,"Cell_11",1.024582
"1868",3068,1,6.166667,"Cell_11",1.016171
"1869",3069,1,6.333334,"Cell_11",1.024229
"1870",3070,1,6.5,"Cell_11",1.025012
"1871",3071,1,6.666667,"Cell_11",1.028125
"1872",3072,1,6.833334,"Cell_11",1.036381
"1873",3073,1,7,"Cell_11",1.03045
"1874",3074,1,7.166667,"Cell_11",1.030723
"1875",3075,1,7.333334,"Cell_11",1.033632
"1876",3076,1,7.5,"Cell_11",1.030998
"1877",3077,1,7.666667,"Cell_11",1.031962
"1878",3078,1,7.833334,"Cell_11",1.021838
