"Time","unique_id","id","Sample","Value"
4,"1_cell.5","1","cell.5",0.992481899460958
6,"1_cell.5","1","cell.5",0.991445015421922
8,"1_cell.5","1","cell.5",0.990444076696238
10,"1_cell.5","1","cell.5",0.985024352949797
12,"1_cell.5","1","cell.5",0.970962269863587
14,"1_cell.5","1","cell.5",0.981900981721808
16,"1_cell.5","1","cell.5",0.996140026350679
18,"1_cell.5","1","cell.5",0.990283705298201
20,"1_cell.5","1","cell.5",0.988707641558865
22,"1_cell.5","1","cell.5",0.963043517331862
24,"1_cell.5","1","cell.5",0.967916042808103
26,"1_cell.5","1","cell.5",0.972734373811904
28,"1_cell.5","1","cell.5",0.949764212569523
30,"1_cell.5","1","cell.5",0.966960726980137
32,"1_cell.5","1","cell.5",0.968221301469195
34,"1_cell.5","1","cell.5",0.967894199117681
36,"1_cell.5","1","cell.5",0.950263852425133
38,"1_cell.5","1","cell.5",0.9584599368745
40,"1_cell.5","1","cell.5",0.950498326469161
42,"1_cell.5","1","cell.5",0.953139200990984
44,"1_cell.5","1","cell.5",0.964232754199035
46,"1_cell.5","1","cell.5",0.955749107242842
48,"1_cell.5","1","cell.5",0.142038458720264
50,"1_cell.5","1","cell.5",0.133421261099844
52,"1_cell.5","1","cell.5",0.120953214409647
54,"1_cell.5","1","cell.5",0.120839018914147
56,"1_cell.5","1","cell.5",0.0921181605400643
58,"1_cell.5","1","cell.5",0.0766705238752917
60,"1_cell.5","1","cell.5",0.0922160423933494
62,"1_cell.5","1","cell.5",0.081722775918299
64,"1_cell.5","1","cell.5",0.0887235404474638
66,"1_cell.5","1","cell.5",0.0897590419744482
68,"1_cell.5","1","cell.5",0.0790827309037065
70,"1_cell.5","1","cell.5",0.0826435289449636
72,"1_cell.5","1","cell.5",0.094298105543735
74,"1_cell.5","1","cell.5",0.0843077969532197
76,"1_cell.5","1","cell.5",0.0839110159942818
78,"1_cell.5","1","cell.5",0.0756095841265495
80,"1_cell.5","1","cell.5",0.0843528668461167
82,"1_cell.5","1","cell.5",0.0868474715928335
84,"1_cell.5","1","cell.5",0.0679150750496667
86,"1_cell.5","1","cell.5",0.077443348112387
88,"1_cell.5","1","cell.5",0.0796877181776832
90,"1_cell.5","1","cell.5",0.0715073943657105
92,"1_cell.5","1","cell.5",0.0744084576557296
94,"1_cell.5","1","cell.5",0.0814800068019593
96,"1_cell.5","1","cell.5",0.069353993593439
98,"1_cell.5","1","cell.5",0.0672622528586893
100,"1_cell.5","1","cell.5",0.0732405114741587
102,"1_cell.5","1","cell.5",0.0660155034901516
104,"1_cell.5","1","cell.5",0.0804469937966685
106,"1_cell.5","1","cell.5",0.080420449565269
108,"1_cell.5","1","cell.5",0.0803858867639679
110,"1_cell.5","1","cell.5",0.0686572075192063
112,"1_cell.5","1","cell.5",0.0718875851800236
114,"1_cell.5","1","cell.5",0.0754633143514427
116,"1_cell.5","1","cell.5",0.0795287292916975
118,"1_cell.5","1","cell.5",0.0751375945119801
120,"1_cell.5","1","cell.5",0.070345807739579
122,"1_cell.5","1","cell.5",0.0710749445958294
124,"1_cell.5","1","cell.5",0.0684874350392148
126,"1_cell.5","1","cell.5",0.0671552464258606
128,"1_cell.5","1","cell.5",0.0633298355778416
130,"1_cell.5","1","cell.5",0.0815422198443016
132,"1_cell.5","1","cell.5",0.0731727683836083
134,"1_cell.5","1","cell.5",0.0799130676421671
136,"1_cell.5","1","cell.5",0.0787437389485442
138,"1_cell.5","1","cell.5",0.0793749939515098
140,"1_cell.5","1","cell.5",0.0781464937420591
142,"1_cell.5","1","cell.5",0.0687644904544453
144,"1_cell.5","1","cell.5",0.0660000193551685
146,"1_cell.5","1","cell.5",0
148,"1_cell.5","1","cell.5",0.0653961380908337
150,"1_cell.5","1","cell.5",0.0861752942331276
152,"1_cell.5","1","cell.5",0.171164393125597
154,"1_cell.5","1","cell.5",0.287659559172207
156,"1_cell.5","1","cell.5",0.409009278038381
158,"1_cell.5","1","cell.5",0.46548157733565
160,"1_cell.5","1","cell.5",0.536487672831288
162,"1_cell.5","1","cell.5",0.551090318129848
164,"1_cell.5","1","cell.5",0.583121186858946
166,"1_cell.5","1","cell.5",0.588426715109889
168,"1_cell.5","1","cell.5",0.598393520995519
170,"1_cell.5","1","cell.5",0.607671006371998
172,"1_cell.5","1","cell.5",0.618196347126656
174,"1_cell.5","1","cell.5",0.638572915759393
176,"1_cell.5","1","cell.5",0.63715418189158
178,"1_cell.5","1","cell.5",0.64000132721157
180,"1_cell.5","1","cell.5",0.647103015120534
182,"1_cell.5","1","cell.5",0.659704335972549
184,"1_cell.5","1","cell.5",0.653231691047267
186,"1_cell.5","1","cell.5",0.674155457950205
188,"1_cell.5","1","cell.5",0.663840812032279
190,"1_cell.5","1","cell.5",0.690066236152414
192,"1_cell.5","1","cell.5",0.671369419662916
194,"1_cell.5","1","cell.5",0.677088319017421
196,"1_cell.5","1","cell.5",0.683780230354158
198,"1_cell.5","1","cell.5",0.69627150324683
200,"1_cell.5","1","cell.5",0.69920021677789
202,"1_cell.5","1","cell.5",0.690736477995247
204,"1_cell.5","1","cell.5",0.69277678928166
206,"1_cell.5","1","cell.5",0.701353894052571
208,"1_cell.5","1","cell.5",0.703912370856093
210,"1_cell.5","1","cell.5",0.720041032957704
212,"1_cell.5","1","cell.5",0.708503416878537
214,"1_cell.5","1","cell.5",0.711528353248419
216,"1_cell.5","1","cell.5",0.714232546822227
218,"1_cell.5","1","cell.5",0.718124871253565
220,"1_cell.5","1","cell.5",0.7264821566082
222,"1_cell.5","1","cell.5",0.722581537104549
224,"1_cell.5","1","cell.5",0.729067177643121
226,"1_cell.5","1","cell.5",0.750890130384711
228,"1_cell.5","1","cell.5",0.747459011973937
230,"1_cell.5","1","cell.5",0.729156487921683
232,"1_cell.5","1","cell.5",0.746224705213868
234,"1_cell.5","1","cell.5",0.748867791754975
236,"1_cell.5","1","cell.5",0.746297148845395
238,"1_cell.5","1","cell.5",0.741672093026471
240,"1_cell.5","1","cell.5",0.739343113223589
0,"1_cell.6","1","cell.6",0.92897202305502
2,"1_cell.6","1","cell.6",0.926463267939301
4,"1_cell.6","1","cell.6",0.965719825518847
6,"1_cell.6","1","cell.6",0.971670496217297
8,"1_cell.6","1","cell.6",0.941020854860078
10,"1_cell.6","1","cell.6",0.958787776335334
12,"1_cell.6","1","cell.6",0.923665204715268
14,"1_cell.6","1","cell.6",0.938390420157628
16,"1_cell.6","1","cell.6",0.949527080515297
18,"1_cell.6","1","cell.6",0.939119079501017
20,"1_cell.6","1","cell.6",0.961726239082519
