Time,Cell,Response,Condition
20,cell_9,0.6580748,Condition_2
22,cell_9,0.6579692,Condition_2
24,cell_9,0.6557109,Condition_2
26,cell_9,0.6565951,Condition_2
28,cell_9,0.6559783,Condition_2
30,cell_9,0.6614913,Condition_2
32,cell_9,0.6516503,Condition_2
34,cell_9,0.6563777,Condition_2
36,cell_9,0.6523716,Condition_2
38,cell_9,0.6558033,Condition_2
40,cell_9,0.6589903,Condition_2
42,cell_9,0.6577442,Condition_2
44,cell_9,0.6531781,Condition_2
46,cell_9,0.6576681,Condition_2
0,cell_10,0.5901899,Condition_2
2,cell_10,0.5801987,Condition_2
4,cell_10,0.5790694,Condition_2
6,cell_10,0.5747268,Condition_2
8,cell_10,0.5716396,Condition_2
10,cell_10,0.5743759,Condition_2
12,cell_10,0.5731295,Condition_2
14,cell_10,0.5695343,Condition_2
16,cell_10,0.5689114,Condition_2
18,cell_10,0.5651513,Condition_2
20,cell_10,0.5680552,Condition_2
22,cell_10,0.5692883,Condition_2
24,cell_10,0.5720665,Condition_2
26,cell_10,0.5735822,Condition_2
28,cell_10,0.5717508,Condition_2
30,cell_10,0.5729809,Condition_2
32,cell_10,0.5712599,Condition_2
34,cell_10,0.5717604,Condition_2
36,cell_10,0.5743398,Condition_2
38,cell_10,0.5769457,Condition_2
40,cell_10,0.572391,Condition_2
42,cell_10,0.5717383,Condition_2
44,cell_10,0.5755753,Condition_2
46,cell_10,0.5718781,Condition_2
0,cell_11,0.6648378,Condition_2
2,cell_11,0.6436274,Condition_2
4,cell_11,0.6411879,Condition_2
6,cell_11,0.6389547,Condition_2
8,cell_11,0.6363773,Condition_2
10,cell_11,0.6377363,Condition_2
12,cell_11,0.6367301,Condition_2
14,cell_11,0.63583,Condition_2
16,cell_11,0.6345915,Condition_2
18,cell_11,0.6340966,Condition_2
20,cell_11,0.6342813,Condition_2
22,cell_11,0.6329445,Condition_2
24,cell_11,0.6369497,Condition_2
26,cell_11,0.6397236,Condition_2
28,cell_11,0.6366675,Condition_2
30,cell_11,0.6392633,Condition_2
32,cell_11,0.6344798,Condition_2
34,cell_11,0.6398402,Condition_2
36,cell_11,0.6395645,Condition_2
38,cell_11,0.6414179,Condition_2
40,cell_11,0.6394932,Condition_2
42,cell_11,0.6367164,Condition_2
44,cell_11,0.6398295,Condition_2
46,cell_11,0.6342174,Condition_2
0,cell_12,0.6554475,Condition_2
2,cell_12,0.6488855,Condition_2
4,cell_12,0.6481088,Condition_2
6,cell_12,0.6395813,Condition_2
8,cell_12,0.6381269,Condition_2
10,cell_12,0.6387445,Condition_2
12,cell_12,0.6394422,Condition_2
14,cell_12,0.6349275,Condition_2
16,cell_12,0.6366007,Condition_2
18,cell_12,0.6348265,Condition_2
20,cell_12,0.6342319,Condition_2
22,cell_12,0.640677,Condition_2
24,cell_12,0.6421387,Condition_2
26,cell_12,0.6457923,Condition_2
28,cell_12,0.6415861,Condition_2
30,cell_12,0.6450362,Condition_2
32,cell_12,0.6398446,Condition_2
34,cell_12,0.6419332,Condition_2
36,cell_12,0.6438596,Condition_2
38,cell_12,0.6484141,Condition_2
40,cell_12,0.6416141,Condition_2
42,cell_12,0.6401131,Condition_2
44,cell_12,0.6461521,Condition_2
46,cell_12,0.6395882,Condition_2
