Time,cell-1,cell-2,cell-3,cell-4,cell-5,cell-6,cell-7,cell-8,cell-9,cell-10,cell-11,cell-12
208,0.8394494,0.9276364,0.8485293,0.8709114,0.8971238,0.9705049,0.9675747,0.938749,0.9614257,0.9059557,0.9297382,0.9160938
210,0.8409116,0.9241971,0.8388352,0.8697828,0.9029569,0.9914571,0.9800523,0.9433894,0.9699149,0.904973,0.9198697,0.9169561
212,0.8345894,0.9166014,0.8452401,0.8714681,0.8987842,0.9838401,0.9743254,0.9405927,0.9623373,0.9112139,0.9285422,0.9248399
214,0.8417685,0.9281349,0.8585805,0.8731135,0.8998782,0.9762893,0.969897,0.9395065,0.9585838,0.9099588,0.927261,0.9221675
216,0.828907,0.9224838,0.8543727,0.8774736,0.9008562,0.9801477,0.9742219,0.9396998,0.9618439,0.9149804,0.9289708,0.9348542
218,0.8350143,0.923761,0.8542214,0.8755716,0.9022639,0.9850536,0.9775211,0.9373899,0.9564713,0.8582015,0.8478145,0.8515295
220,0.8406683,0.9307938,0.8624922,0.8812335,0.9052864,0.9721701,0.9768153,0.9411788,0.9628277,0.9061441,0.9223647,0.9215679
222,0.8541303,0.937544,0.8617003,0.8805513,0.9038757,0.9867595,0.9814329,0.9368694,0.9593132,0.9109768,0.9265071,0.9241449
224,0.8438001,0.9286164,0.8646743,0.8805155,0.9062213,0.9694063,0.9749716,0.938496,0.9643747,0.9097928,0.9284187,0.924326
226,0.8772048,0.9689363,0.851841,0.8870187,0.9141138,0.9768374,0.9714322,0.9395785,0.9586869,0.9163662,0.9357637,0.9299535
228,0.8601219,0.9514383,0.86164,0.8869889,0.9128729,0.9858714,0.9859855,0.9395788,0.9676657,0.910691,0.9339051,0.9342773
230,0.854363,0.9493067,0.861764,0.885383,0.9062536,0.9801157,0.9867248,0.9420264,0.969874,0.9087347,0.9355748,0.923134
232,0.8438829,0.9318541,0.8662289,0.8916538,0.9124265,0.9848077,0.9831026,0.9452718,0.9766672,0.907307,0.922313,0.9163445
234,0.8384114,0.9352189,0.8537068,0.8924411,0.9133824,0.9796389,0.9820362,0.9386692,0.9638248,0.9102768,0.9311424,0.9271856
236,0.8512328,0.9487267,0.8610116,0.8905483,0.9124527,0.988262,0.9918756,0.9414716,0.972649,0.9096372,0.9297156,0.9301013
238,0.8389911,0.9328855,0.865618,0.8960189,0.91078,0.9934716,0.9889791,0.9430047,0.9693163,0.9141702,0.9345112,0.9241862
240,0.8388155,0.9292778,0.8649738,0.8915784,0.9099377,0.9879213,0.9929815,0.9445463,0.9674996,0.9158426,0.932408,0.9339843
