xx,Cell-1,Cell-2,Cell-3,Cell-4,Cell-5,Cell-6,Cell-7,Cell-8,Cell-9,Cell-10,Cell-11,Cell-12,Cell-13,Cell-14,Cell-15,Cell-16,Cell-17,Cell-18,Cell-19,Cell-20,Cell-21,Cell-22,Cell-23,Cell-24,Cell-25,Cell-26,Cell-27,Cell-28,Cell-29,Cell-30,Cell-31,Cell-32
8.333333,1.037862,1.015081,1.017963,1.086769,1.072935,1.043987,1.080541,1.044182,1.009952,1.047788,1.014734,1.032879,1.010602,0.9964969,1.060496,0.9981563,1.016577,1.017577,0.9766176,0.9755089,0.9727635,0.9905251,0.9827589,0.9951376,0.9661822,1.017719,0.9681658,1.007353,0.8977134,0.9481968,0.9342558,0.9636364
8.5,1.029259,1.000021,1.013898,1.083315,1.068624,1.046939,1.079036,1.038644,1.012179,1.038659,0.992969,1.010383,0.9887243,0.9787669,1.059153,0.9999625,1.012019,1.02467,0.9689532,0.969166,0.9768678,0.9955507,0.984323,0.9968126,0.966639,1.015562,0.971072,1.008882,0.8952188,0.9498384,0.9275,0.94984
8.666667,1.022152,1.001604,0.9989436,1.085708,1.074248,1.056208,1.091022,1.036292,1.013059,1.045961,1.013651,1.024801,1.01854,0.9982829,1.049371,0.9889069,1.010422,1.009611,0.9796105,0.9852596,0.9796084,0.9941113,0.9746297,0.9945802,0.9565577,1.013687,0.9644443,1.0102,0.8963006,0.9509859,0.9352739,0.9705352
8.833333,1.030621,1.007236,1.0145,1.076261,1.061895,1.041414,1.078372,1.043602,1.012333,1.048663,1.028601,1.033126,0.9913921,0.9685599,1.043688,0.9864109,1.016522,1.023593,0.9754487,0.9697514,0.9758912,0.992562,0.9802473,0.9946505,0.9614437,1.013325,0.9585641,1.006467,0.9058955,0.9518035,0.9243972,0.9573228
9,1.03368,1.007353,1.010316,1.06508,1.053664,1.047574,1.076439,1.036223,1.01251,1.047974,1.016514,1.028159,0.9949125,0.9840813,1.041717,0.9865042,1.004173,1.018269,0.9831675,0.9808077,0.9763058,1.014605,0.9770266,0.9977659,0.966911,1.01548,0.9718466,1.008149,0.893211,0.9505373,0.9269882,0.9605365
9.166667,1.042859,1.023606,1.032194,1.062077,1.04841,1.04501,1.081054,1.026482,1.017824,1.043926,1.027786,1.023707,0.9931675,0.9794856,1.045371,0.9901435,0.9990631,1.011485,0.9710891,0.9651154,0.9810701,1.021954,0.9746897,0.9963378,0.9649294,1.01658,0.9691913,1.008304,0.885733,0.9530739,0.9248781,0.964645
9.333333,1.032506,1.005326,1.015932,1.06422,1.04718,1.05249,1.084241,1.033503,1.013739,1.040535,1.061847,1.026831,0.9987797,0.9896092,1.03743,0.9812982,1.002576,1.007978,0.9941376,0.9945972,0.9724678,1.01113,0.9727318,1.000642,0.9717975,1.017555,0.9762372,1.009952,0.8884732,0.948305,0.9242507,0.9636959
9.5,1.030192,1.001886,1.010838,1.056814,1.040859,1.04397,1.07902,1.029884,1.013718,1.03968,1.00743,1.013357,1.001055,0.9786805,1.031171,0.9796693,0.9986013,1.006021,0.9780085,0.9832115,0.9735695,1.005431,0.9726088,1.000536,0.9672852,1.015715,0.963351,1.008526,0.8861674,0.9482898,0.9246913,0.9598053
9.666667,1.012682,0.989242,0.9873712,1.051518,1.030988,1.037353,1.065609,1.027887,1.015474,1.034692,1.029172,1.029846,0.9983842,0.9800572,1.033127,0.9789429,0.9978843,1.012566,0.9847613,0.9849426,0.9810169,0.9982085,0.9750091,0.9920907,0.9613089,1.012241,0.9640371,1.004311,0.8853418,0.9462644,0.9178477,0.953367
9.833333,1.032179,1.011142,1.015636,1.056222,1.034051,1.04005,1.069244,1.032008,1.011944,1.020208,0.999669,1.00971,0.9935571,0.9809083,1.034437,0.9854955,0.9949316,1.020607,0.9621673,0.9647475,0.9757196,0.9917221,0.9780979,1.000724,0.9723305,1.019264,0.9818698,0.9968327,0.8863643,0.943297,0.9277375,0.9540753
10,1.029116,0.9982101,1.008184,1.059836,1.042295,1.05006,1.08313,1.030037,1.015062,1.006561,0.9736617,0.9948329,0.988368,0.9813039,1.025919,0.9762689,0.9951762,1.006839,0.9938484,0.9948954,0.975347,0.9920415,0.969117,0.9886347,0.9541778,1.013216,0.947426,0.9926102,0.8822672,0.941548,0.9339905,0.9748992
